Combination,Count
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024-WA,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-33-59900-2024-WA,42
ALFA ROMEO-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-33-59900-2024,42
ALFA ROMEO-33-59900-2024-WA,42
ALFA ROMEO-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024-WA,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-33-59900-2024-WA,42
ALFA ROMEO-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-33-59900-2024,42
ALFA ROMEO-33-59900-2024-WA,42
ALFA ROMEO-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-33-59900,42
ALFA ROMEO-33-59900-2024,42
ALFA ROMEO-33-59900-2024-WA,42
ALFA ROMEO-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024,42
ALFA ROMEO-59900-2024-WA,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-2024-WA,42
ALFA ROMEO-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV),42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024-WA,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-33-59900-2024-WA,42
ALFA ROMEO-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-33-59900-2024,42
ALFA ROMEO-33-59900-2024-WA,42
ALFA ROMEO-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-33-59900,42
ALFA ROMEO-33-59900-2024,42
ALFA ROMEO-33-59900-2024-WA,42
ALFA ROMEO-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024,42
ALFA ROMEO-59900-2024-WA,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-2024-WA,42
ALFA ROMEO-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-33,42
ALFA ROMEO-33-59900,42
ALFA ROMEO-33-59900-2024,42
ALFA ROMEO-33-59900-2024-WA,42
ALFA ROMEO-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024,42
ALFA ROMEO-59900-2024-WA,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-2024-WA,42
ALFA ROMEO-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900,42
ALFA ROMEO-59900-2024,42
ALFA ROMEO-59900-2024-WA,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-2024-WA,42
ALFA ROMEO-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-2024,42
ALFA ROMEO-2024-WA,42
ALFA ROMEO-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-WA,42
ALFA ROMEO-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-Clean Alternative Fuel Vehicle Eligible,42
AUDI,3738
AUDI-A3,553
AUDI-A3-Plug-in Hybrid Electric Vehicle (PHEV),553
AUDI-A3-Plug-in Hybrid Electric Vehicle (PHEV)-16,553
AUDI-A3-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900,553
AUDI-A3-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2016,205
AUDI-A3-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2016-WA,205
AUDI-A3-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2016-WA-Not eligible due to low battery range,205
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2016-WA-Not eligible due to low battery range,205
AUDI-A3-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2017,182
AUDI-A3-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2017-WA,182
AUDI-A3-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2017-WA-Not eligible due to low battery range,182
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2017-WA-Not eligible due to low battery range,182
AUDI-A3-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2018,166
AUDI-A3-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2018-WA,166
AUDI-A3-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2018-WA-Not eligible due to low battery range,166
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2018-WA-Not eligible due to low battery range,166
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2017-WA,553
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2017-WA-Not eligible due to low battery range,553
AUDI-16-59900-2017-WA-Not eligible due to low battery range,553
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2016,205
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2016-WA,205
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2016-WA-Not eligible due to low battery range,205
AUDI-16-59900-2016-WA-Not eligible due to low battery range,205
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2017,182
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2017-WA,182
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2017-WA-Not eligible due to low battery range,182
AUDI-16-59900-2017-WA-Not eligible due to low battery range,182
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2018,166
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2018-WA,166
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2018-WA-Not eligible due to low battery range,166
AUDI-16-59900-2018-WA-Not eligible due to low battery range,166
AUDI-16-59900-2017-WA,553
AUDI-16-59900-2017-WA-Not eligible due to low battery range,553
AUDI-59900-2017-WA-Not eligible due to low battery range,553
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900,553
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2016,205
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2016-WA,205
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2016-WA-Not eligible due to low battery range,205
AUDI-16-59900-2016-WA-Not eligible due to low battery range,205
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2017,182
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2017-WA,182
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2017-WA-Not eligible due to low battery range,182
AUDI-16-59900-2017-WA-Not eligible due to low battery range,182
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2018,166
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2018-WA,166
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2018-WA-Not eligible due to low battery range,166
AUDI-16-59900-2018-WA-Not eligible due to low battery range,166
AUDI-16-59900-2017-WA,553
AUDI-16-59900-2017-WA-Not eligible due to low battery range,553
AUDI-59900-2017-WA-Not eligible due to low battery range,553
AUDI-16-59900-2016,205
AUDI-16-59900-2016-WA,205
AUDI-16-59900-2016-WA-Not eligible due to low battery range,205
AUDI-59900-2016-WA-Not eligible due to low battery range,205
AUDI-16-59900-2017,182
AUDI-16-59900-2017-WA,182
AUDI-16-59900-2017-WA-Not eligible due to low battery range,182
AUDI-59900-2017-WA-Not eligible due to low battery range,182
AUDI-16-59900-2018,166
AUDI-16-59900-2018-WA,166
AUDI-16-59900-2018-WA-Not eligible due to low battery range,166
AUDI-59900-2018-WA-Not eligible due to low battery range,166
AUDI-59900-2017-WA,553
AUDI-59900-2017-WA-Not eligible due to low battery range,553
AUDI-2017-WA-Not eligible due to low battery range,553
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16,553
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900,553
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2016,205
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2016-WA,205
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2016-WA-Not eligible due to low battery range,205
AUDI-16-59900-2016-WA-Not eligible due to low battery range,205
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2017,182
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2017-WA,182
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2017-WA-Not eligible due to low battery range,182
AUDI-16-59900-2017-WA-Not eligible due to low battery range,182
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2018,166
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2018-WA,166
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-16-59900-2018-WA-Not eligible due to low battery range,166
AUDI-16-59900-2018-WA-Not eligible due to low battery range,166
AUDI-16-59900-2017-WA,553
AUDI-16-59900-2017-WA-Not eligible due to low battery range,553
AUDI-59900-2017-WA-Not eligible due to low battery range,553
AUDI-16-59900-2016,205
AUDI-16-59900-2016-WA,205
AUDI-16-59900-2016-WA-Not eligible due to low battery range,205
AUDI-59900-2016-WA-Not eligible due to low battery range,205
AUDI-16-59900-2017,182
AUDI-16-59900-2017-WA,182
AUDI-16-59900-2017-WA-Not eligible due to low battery range,182
AUDI-59900-2017-WA-Not eligible due to low battery range,182
AUDI-16-59900-2018,166
AUDI-16-59900-2018-WA,166
AUDI-16-59900-2018-WA-Not eligible due to low battery range,166
AUDI-59900-2018-WA-Not eligible due to low battery range,166
AUDI-59900-2017-WA,553
AUDI-59900-2017-WA-Not eligible due to low battery range,553
AUDI-2017-WA-Not eligible due to low battery range,553
AUDI-16-59900,553
AUDI-16-59900-2016,205
AUDI-16-59900-2016-WA,205
AUDI-16-59900-2016-WA-Not eligible due to low battery range,205
AUDI-59900-2016-WA-Not eligible due to low battery range,205
AUDI-16-59900-2017,182
AUDI-16-59900-2017-WA,182
AUDI-16-59900-2017-WA-Not eligible due to low battery range,182
AUDI-59900-2017-WA-Not eligible due to low battery range,182
AUDI-16-59900-2018,166
AUDI-16-59900-2018-WA,166
AUDI-16-59900-2018-WA-Not eligible due to low battery range,166
AUDI-59900-2018-WA-Not eligible due to low battery range,166
AUDI-59900-2017-WA,553
AUDI-59900-2017-WA-Not eligible due to low battery range,553
AUDI-2017-WA-Not eligible due to low battery range,553
AUDI-59900-2016,205
AUDI-59900-2016-WA,205
AUDI-59900-2016-WA-Not eligible due to low battery range,205
AUDI-2016-WA-Not eligible due to low battery range,205
AUDI-59900-2017,182
AUDI-59900-2017-WA,182
AUDI-59900-2017-WA-Not eligible due to low battery range,182
AUDI-2017-WA-Not eligible due to low battery range,182
AUDI-59900-2018,166
AUDI-59900-2018-WA,166
AUDI-59900-2018-WA-Not eligible due to low battery range,166
AUDI-2018-WA-Not eligible due to low battery range,166
AUDI-2017-WA,553
AUDI-2017-WA-Not eligible due to low battery range,553
AUDI-WA-Not eligible due to low battery range,553
AUDI-A7,13
AUDI-A7-Plug-in Hybrid Electric Vehicle (PHEV),13
AUDI-A7-Plug-in Hybrid Electric Vehicle (PHEV)-24,13
AUDI-A7-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900,13
AUDI-A7-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900-2021,13
AUDI-A7-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900-2021-WA,13
AUDI-A7-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900-2021-WA,13
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900-2021,13
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900-2021-WA,13
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-24-59900-2021-WA,13
AUDI-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-59900-2021-WA-Not eligible due to low battery range,13
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900,13
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900-2021,13
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900-2021-WA,13
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-24-59900-2021-WA,13
AUDI-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-59900-2021-WA-Not eligible due to low battery range,13
AUDI-24-59900-2021,13
AUDI-24-59900-2021-WA,13
AUDI-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-59900-2021-WA-Not eligible due to low battery range,13
AUDI-59900-2021-WA,13
AUDI-59900-2021-WA-Not eligible due to low battery range,13
AUDI-2021-WA-Not eligible due to low battery range,13
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-24,13
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900,13
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900-2021,13
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900-2021-WA,13
AUDI-Plug-in Hybrid Electric Vehicle (PHEV)-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-24-59900-2021-WA,13
AUDI-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-59900-2021-WA-Not eligible due to low battery range,13
AUDI-24-59900-2021,13
AUDI-24-59900-2021-WA,13
AUDI-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-59900-2021-WA-Not eligible due to low battery range,13
AUDI-59900-2021-WA,13
AUDI-59900-2021-WA-Not eligible due to low battery range,13
AUDI-2021-WA-Not eligible due to low battery range,13
AUDI-24-59900,13
AUDI-24-59900-2021,13
AUDI-24-59900-2021-WA,13
AUDI-24-59900-2021-WA-Not eligible due to low battery range,13
AUDI-59900-2021-WA-Not eligible due to low battery range,13
AUDI-59900-2021-WA,13
AUDI-59900-2021-WA-Not eligible due to low battery range,13
AUDI-2021-WA-Not eligible due to low battery range,13
AUDI-59900-2021,13
AUDI-59900-2021-WA,13
AUDI-59900-2021-WA-Not eligible due to low battery range,13
AUDI-2021-WA-Not eligible due to low battery range,13
AUDI-2021-WA,13
AUDI-2021-WA-Not eligible due to low battery range,13
AUDI-WA-Not eligible due to low battery range,13
AUDI-E-TRON,1084
AUDI-E-TRON-Battery Electric Vehicle (BEV),1084
AUDI-E-TRON-Battery Electric Vehicle (BEV)-204,536
AUDI-E-TRON-Battery Electric Vehicle (BEV)-204-59900,536
AUDI-E-TRON-Battery Electric Vehicle (BEV)-204-59900-2019,536
AUDI-E-TRON-Battery Electric Vehicle (BEV)-204-59900-2019-WA,535
AUDI-E-TRON-Battery Electric Vehicle (BEV)-204-59900-2019-WA-Clean Alternative Fuel Vehicle Eligible,535
AUDI-Battery Electric Vehicle (BEV)-204-59900-2019-WA-Clean Alternative Fuel Vehicle Eligible,536
AUDI-Battery Electric Vehicle (BEV)-204-59900-2019-WA,535
AUDI-Battery Electric Vehicle (BEV)-204-59900-2019-WA-Clean Alternative Fuel Vehicle Eligible,535
AUDI-204-59900-2019-WA-Clean Alternative Fuel Vehicle Eligible,536
AUDI-Battery Electric Vehicle (BEV)-204-59900-2019,536
AUDI-Battery Electric Vehicle (BEV)-204-59900-2019-WA,535
AUDI-Battery Electric Vehicle (BEV)-204-59900-2019-WA-Clean Alternative Fuel Vehicle Eligible,535
AUDI-204-59900-2019-WA-Clean Alternative Fuel Vehicle Eligible,536
AUDI-204-59900-2019-WA,535
AUDI-204-59900-2019-WA-Clean Alternative Fuel Vehicle Eligible,535
AUDI-59900-2019-WA-Clean Alternative Fuel Vehicle Eligible,536
AUDI-E-TRON-Battery Electric Vehicle (BEV)-208,402
AUDI-E-TRON-Battery Electric Vehicle (BEV)-208-59900,402
AUDI-E-TRON-Battery Electric Vehicle (BEV)-208-59900-2021,46
AUDI-E-TRON-Battery Electric Vehicle (BEV)-208-59900-2021-WA,46
AUDI-E-TRON-Battery Electric Vehicle (BEV)-208-59900-2021-WA-Eligibility unknown as battery range has not been researched,46
AUDI-Battery Electric Vehicle (BEV)-208-59900-2021-WA-Eligibility unknown as battery range has not been researched,46
AUDI-E-TRON-Battery Electric Vehicle (BEV)-208-59900-2022,238
AUDI-E-TRON-Battery Electric Vehicle (BEV)-208-59900-2022-WA,238
AUDI-E-TRON-Battery Electric Vehicle (BEV)-208-59900-2022-WA-Eligibility unknown as battery range has not been researched,238
AUDI-Battery Electric Vehicle (BEV)-208-59900-2022-WA-Eligibility unknown as battery range has not been researched,238
AUDI-E-TRON-Battery Electric Vehicle (BEV)-208-59900-2023,118
AUDI-E-TRON-Battery Electric Vehicle (BEV)-208-59900-2023-WA,115
AUDI-E-TRON-Battery Electric Vehicle (BEV)-208-59900-2023-WA-Eligibility unknown as battery range has not been researched,115
AUDI-Battery Electric Vehicle (BEV)-208-59900-2023-WA-Eligibility unknown as battery range has not been researched,118
AUDI-Battery Electric Vehicle (BEV)-208-59900-2022-WA,399
AUDI-Battery Electric Vehicle (BEV)-208-59900-2022-WA-Eligibility unknown as battery range has not been researched,399
AUDI-208-59900-2023-WA-Eligibility unknown as battery range has not been researched,402
AUDI-Battery Electric Vehicle (BEV)-208-59900-2021,46
AUDI-Battery Electric Vehicle (BEV)-208-59900-2021-WA,46
AUDI-Battery Electric Vehicle (BEV)-208-59900-2021-WA-Eligibility unknown as battery range has not been researched,46
AUDI-208-59900-2021-WA-Eligibility unknown as battery range has not been researched,46
AUDI-Battery Electric Vehicle (BEV)-208-59900-2022,238
AUDI-Battery Electric Vehicle (BEV)-208-59900-2022-WA,238
AUDI-Battery Electric Vehicle (BEV)-208-59900-2022-WA-Eligibility unknown as battery range has not been researched,238
AUDI-208-59900-2022-WA-Eligibility unknown as battery range has not been researched,238
AUDI-Battery Electric Vehicle (BEV)-208-59900-2023,118
AUDI-Battery Electric Vehicle (BEV)-208-59900-2023-WA,115
AUDI-Battery Electric Vehicle (BEV)-208-59900-2023-WA-Eligibility unknown as battery range has not been researched,115
AUDI-208-59900-2023-WA-Eligibility unknown as battery range has not been researched,118
AUDI-208-59900-2023-WA,399
AUDI-208-59900-2023-WA-Eligibility unknown as battery range has not been researched,399
AUDI-59900-2023-WA-Eligibility unknown as battery range has not been researched,402
AUDI-E-TRON-Battery Electric Vehicle (BEV)-222,146
AUDI-E-TRON-Battery Electric Vehicle (BEV)-222-59900,146
AUDI-E-TRON-Battery Electric Vehicle (BEV)-222-59900-2021,146
AUDI-E-TRON-Battery Electric Vehicle (BEV)-222-59900-2021-WA,146
AUDI-E-TRON-Battery Electric Vehicle (BEV)-222-59900-2021-WA-Clean Alternative Fuel Vehicle Eligible,146
AUDI-Battery Electric Vehicle (BEV)-222-59900-2021-WA-Clean Alternative Fuel Vehicle Eligible,146
AUDI-Battery Electric Vehicle (BEV)-222-59900-2021-WA,146
AUDI-Battery Electric Vehicle (BEV)-222-59900-2021-WA-Clean Alternative Fuel Vehicle Eligible,146
AUDI-222-59900-2021-WA-Clean Alternative Fuel Vehicle Eligible,146
AUDI-Battery Electric Vehicle (BEV)-222-59900-2021,146
AUDI-Battery Electric Vehicle (BEV)-222-59900-2021-WA,146
AUDI-Battery Electric Vehicle (BEV)-222-59900-2021-WA-Clean Alternative Fuel Vehicle Eligible,146
AUDI-222-59900-2021-WA-Clean Alternative Fuel Vehicle Eligible,146
AUDI-222-59900-2021-WA,146
AUDI-222-59900-2021-WA-Clean Alternative Fuel Vehicle Eligible,146
AUDI-59900-2021-WA-Clean Alternative Fuel Vehicle Eligible,146
AUDI-Battery Electric Vehicle (BEV)-208-59900,1084
AUDI-Battery Electric Vehicle (BEV)-204-59900-2019,536
AUDI-Battery Electric Vehicle (BEV)-204-59900-2019-WA,535
AUDI-Battery Electric Vehicle (BEV)-204-59900-2019-WA-Clean Alternative Fuel Vehicle Eligible,535
AUDI-204-59900-2019-WA-Clean Alternative Fuel Vehicle Eligible,536
AUDI-Battery Electric Vehicle (BEV)-222-59900-2021,192
AUDI-Battery Electric Vehicle (BEV)-222-59900-2021-WA,192
AUDI-Battery Electric Vehicle (BEV)-222-59900-2021-WA-Clean Alternative Fuel Vehicle Eligible,146
AUDI-Battery Electric Vehicle (BEV)-208-59900-2021-WA-Eligibility unknown as battery range has not been researched,46
AUDI-222-59900-2021-WA-Clean Alternative Fuel Vehicle Eligible,146
AUDI-208-59900-2021-WA-Eligibility unknown as battery range has not been researched,46
AUDI-Battery Electric Vehicle (BEV)-208-59900-2022,238
AUDI-Battery Electric Vehicle (BEV)-208-59900-2022-WA,238
AUDI-Battery Electric Vehicle (BEV)-208-59900-2022-WA-Eligibility unknown as battery range has not been researched,238
AUDI-208-59900-2022-WA-Eligibility unknown as battery range has not been researched,238
AUDI-Battery Electric Vehicle (BEV)-208-59900-2023,118
AUDI-Battery Electric Vehicle (BEV)-208-59900-2023-WA,115
AUDI-Battery Electric Vehicle (BEV)-208-59900-2023-WA-Eligibility unknown as battery range has not been researched,115
AUDI-208-59900-2023-WA-Eligibility unknown as battery range has not been researched,118
